,Id,StoriGroupId,ScanNumber,IonNumber,Mz,Slope,InverseInjectionTimeSeconds,RSquared,TimeOfBirth,TimeOfDeath,Charge,ChargeScore,IsMultiIonProduct,FrequencyCorrectionMzDistance
517,518,1,1942,773,3137.3916015625,601009.40322876,101.801893515219,0.997956991195679,0.0200391389432485,1.87165557729941,13,0.744020462036133,0,
521,522,1,1995,806,2443.31860351563,562329.299807549,103.906899418121,0.998684942722321,0.0160313111545988,1.89971037181996,13,0.680383248872128,0,
527,528,1,616,1430,4898.84423828125,724852.680802345,81.0701256586948,0.998893678188324,0.0120234833659491,1.87165557729941,18,0.558532257080078,0,
530,531,1,106,1699,4457.66015625,683740.934610367,89.5896792689482,0.998342514038086,0.0200391389432485,1.55503718199609,14,0.552347369968615,0,
537,538,1,775,1387,3957.82006835937,1078937.03913689,99.4332305856617,0.999646008014679,0.0080156555772994,1.82756947162427,21,0.695200805664063,0,
539,540,1,2100,835,2550.95751953125,687010.963559151,92.3361034164358,0.999090135097504,0.0400782778864971,1.87967123287671,10,0.821749801635742,0,
540,541,1,812,1042,4311.23828125,864711.309075356,118.595825426945,0.998691737651825,0.0120234833659491,1.85963209393346,16,0.657793834091657,0,
551,552,1,1063,460,2422.7939453125,517956.296563149,87.4967188730423,0.997877776622772,0.0120234833659491,1.84760861056751,10,0.590175202165588,0,
552,553,1,2113,1510,3843.77416992187,814952.787876129,65.880492786086,0.996878087520599,0.0240469667318982,1.87967123287671,18,0.949659194946289,0,
561,562,1,420,1221,3876.931640625,852976.034641266,98.7459267305224,0.998601794242859,0.0240469667318982,1.85161643835616,17,0.696116027832031,0,
563,564,1,1549,1086,3854.14794921875,699738.497853279,86.0733344809778,0.999043107032776,0.0160313111545988,1.85562426614481,16,0.583580633818103,0,
564,565,1,335,1073,4612.25732421875,760803.079724312,103.07153164296,0.999299049377441,0.0080156555772994,1.85963209393346,15,0.719803564468112,0,
574,575,1,2180,259,1716.02661132813,418249.957859516,59.0458195559754,0.997927308082581,0.0040078277886497,1.79149902152642,8,0.994682998657227,0,
575,576,1,971,810,3578.78491210937,1008769.97005939,94.0822278671559,0.998715817928314,0.0160313111545988,1.87566340508806,20,0.589517669677734,0,
576,577,1,1128,1783,4327.7294921875,674601.654171944,91.6842394792335,0.998490810394287,0.0200391389432485,1.81153816046967,16,0.807163605282868,0,
579,580,1,131,661,2555.36328125,518596.279501915,102.669404517454,0.997893750667572,0.0040078277886497,1.77546771037182,10,0.706394500732422,0,
580,581,1,893,1031,3783.8828125,648479.190468788,101.102011930037,0.996306359767914,0.0240469667318982,1.87165557729941,14,0.672743988037109,0,
583,584,1,390,1109,3455.32177734375,954118.619084358,99.3443274389032,0.998157024383545,0.0280547945205479,1.52297455968689,20,0.757646713256836,0,
586,587,1,2429,645,2485.7744140625,518063.021302223,11.6127833519138,0.998200297355652,0.0040078277886497,1.88768688845401,11,0.873065948486328,0,
588,589,1,1166,376,2321.6298828125,481937.915444374,92.9800092980009,0.995340764522553,0.0360704500978474,1.77145988258317,9,0.926672292581765,0,
617,618,1,56,1486,3749.7919921875,847873.105764389,83.1324299609278,0.998908340930939,0.0240469667318982,1.84760861056751,18,0.518165588378906,0,
622,623,1,2407,2435,4105.6494140625,888771.828889847,8.64565771841093,0.998996496200562,0.0240469667318982,1.86363992172211,19,0.525621299743652,0,
625,626,1,1715,168,2014.04321289063,458373.891055584,95.6205775482884,0.997527956962585,0.0200391389432485,1.84360078277886,9,0.7889623421507,0,
626,627,1,1290,877,4649.59228515625,631236.139774323,90.6618313689937,0.999633491039276,0.0160313111545988,1.86764774951076,14,0.554114761352539,0,
634,635,1,1104,719,3582.83422851563,776233.515501022,105.618926911703,0.997442185878754,0.0040078277886497,1.15826223091977,17,0.536503028869629,0,
635,636,1,1263,237,1727.8759765625,867790.671110153,88.519075860848,0.998034596443176,0.0040078277886497,0.873706457925636,18,0.575840753491154,0,
638,639,1,1944,670,2671.19799804688,455128.929018974,104.547830632514,0.998202681541443,0.0200391389432485,1.67126418786693,9,0.918299942016602,0,
640,641,1,1090,702,2674.31225585937,474977.324306965,86.400552963539,0.997991383075714,0.0320626223091977,1.83558512720157,9,0.856424942016602,0,
644,645,1,2038,769,3209.55517578125,563464.224815369,80.1282051282051,0.997008800506592,0.0040078277886497,1.49091193737769,14,0.609130783081055,0,
649,650,1,387,954,3901.29370117188,750327.120661736,100.180324584252,0.999423563480377,0.0120234833659491,1.87967123287671,17,0.685404181320509,0,
654,655,1,1432,1235,4557.142578125,660632.409214974,88.4407888918369,0.996904730796814,0.0120234833659491,1.45484148727984,14,0.526050186157227,0,
666,667,1,860,770,3572.23608398438,584148.356437683,109.289617486339,0.996281266212463,0.0120234833659491,1.63920156555773,11,0.516269949625401,0,
669,670,1,2016,1812,4343.74169921875,749542.706012726,48.7971502464256,0.998498499393463,0.0040078277886497,1.57106849315069,16,0.747153549194336,0,
673,674,1,1115,1403,3853.38305664062,959730.257034302,86.4902266043937,0.999056100845337,0.0200391389432485,1.88768688845401,18,0.712298278808594,0,
676,677,1,287,1293,4055.8916015625,692847.076773644,111.831804965332,0.999586641788483,0.0080156555772994,1.83157729941292,15,0.700530624389648,0,
680,681,1,2018,2078,4611.33056640625,719874.934196472,49.7289770749416,0.997781574726105,0.0120234833659491,1.3786927592955,15,0.907511680029932,0,
